title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Adriene Tillman, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","316","tchp316","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/316","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/316/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp316.html"
"Cheryl Marie Coney, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","317","tchp317","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/317","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/317.pdf","erika-b.github.io/tchp_dev/items/tchp317.html"
"Shirley Aikin, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","318","tchp318","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/318","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/318.pdf","erika-b.github.io/tchp_dev/items/tchp318.html"
"Shirley Aikin, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","319","tchp319","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/319","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/319","erika-b.github.io/tchp_dev/items/tchp319.html"
"Adriene Tillman, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","320","tchp320","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/320","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/320.pdf","erika-b.github.io/tchp_dev/items/tchp320.html"
"Adriene Tillman, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","321","tchp321","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/321","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/321","erika-b.github.io/tchp_dev/items/tchp321.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","322","tchp322","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/322","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/322.pdf","erika-b.github.io/tchp_dev/items/tchp322.html"
"Nurses Need to be Taken Care of, Too: Stories of Black Nurses in the Workplace","Adriene Tillman and Shirley Aikin examine the social trends and attitudes that have shaped their experiences as African-American nurses. Particular attention is paid to the interviewees involvement with the Ebony Nurses Association of Tacoma, a local organization that provides professional and personal support to its members. Other topics of discussion include Tillmans union activity with the Washington State Nurses Association, Aikins teaching career at Pacific Lutheran University, and the current strengths and weaknesses of the nursing profession.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-01","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","323","tchp323","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/323","","erika-b.github.io/tchp_dev/items/tchp323.html"
"Patty Rose, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","324","tchp324","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/324","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/324/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp324.html"
"Ruan Murphy, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","325","tchp325","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/325","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/325.pdf","erika-b.github.io/tchp_dev/items/tchp325.html"
"Patty Rose, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","326","tchp326","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/326","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/326.pdf","erika-b.github.io/tchp_dev/items/tchp326.html"
"Patty Rose, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","327","tchp327","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/327","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/327","erika-b.github.io/tchp_dev/items/tchp327.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","328","tchp328","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/328","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/328.pdf","erika-b.github.io/tchp_dev/items/tchp328.html"
"Patty Rose, Pierce County Central Labor Council","Patty Rose gives an overview of her nearly four decades of involvement with the Tacoma labor movement and discusses her current position as secretary-treasurer for the Pierce County Central Labor Council. She describes the PCCLCs role as an umbrella organization and talks about the specific political and educational resources that are gathered on behalf of members. She also comments on some of the pressing issues currently faced by labor unions and American workers in general, including outsourcing, rising healthcare costs, and loss of pension benefits.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","329","tchp329","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/329","","erika-b.github.io/tchp_dev/items/tchp329.html"
"Gloria Stancich, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","330","tchp330","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/330","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/330/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp330.html"
"Marcie C. Pierson, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","331","tchp331","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/331","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/331.pdf","erika-b.github.io/tchp_dev/items/tchp331.html"
"Gloria Stancich, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","332","tchp332","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/332","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/332.pdf","erika-b.github.io/tchp_dev/items/tchp332.html"
"Gloria Stancich, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","333","tchp333","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/333","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/333","erika-b.github.io/tchp_dev/items/tchp333.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","334","tchp334","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/334","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/334.pdf","erika-b.github.io/tchp_dev/items/tchp334.html"
"Splendid Gestures: Gloria Stancich and the Gay/Lesbian Community in Tacoma","Highlights from the personal story of Gloria Stancich, longtime civil rights activist and community leader, are discussed and placed in historical context. An active participant in numerous LGBTQ organizations, Stancich describes her path to civic involvement and personal acceptance, which includes a marriage, divorce, and eventual coming out to her son and family.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","335","tchp335","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/335","","erika-b.github.io/tchp_dev/items/tchp335.html"
"Justin Cudney, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-05essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","336","tchp336","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/336","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/336.pdf","erika-b.github.io/tchp_dev/items/tchp336.html"
"Theresa Power-Drutis, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-05transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","337","tchp337","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/337","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/337.pdf","erika-b.github.io/tchp_dev/items/tchp337.html"
"Theresa Power-Drutis, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-05audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","338","tchp338","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/338","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/338","erika-b.github.io/tchp_dev/items/tchp338.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-05bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","339","tchp339","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/339","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/339.pdf","erika-b.github.io/tchp_dev/items/tchp339.html"
"Guadalupe House","Theresa Power-Drutis discusses her involvement with Guadalupe House and other G Street Community projects. A carpenter and lifelong activist, Power-Drutis recounts her arrival in Tacoma in 1979 and describes the sense of social justice and community pride that has driven Hilltops recent revival. Father Bill Bichsel, social activist and co-founder of the G Street Community, is also discussed at length.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-05","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","340","tchp340","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/340","","erika-b.github.io/tchp_dev/items/tchp340.html"
"Shawn Boyd, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-06essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","341","tchp341","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/341","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/341.pdf","erika-b.github.io/tchp_dev/items/tchp341.html"
"Merwin Peters, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-06transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","342","tchp342","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/342","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/342.pdf","erika-b.github.io/tchp_dev/items/tchp342.html"
"Merwin Peters, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-06audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","343","tchp343","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/343","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/343","erika-b.github.io/tchp_dev/items/tchp343.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-06bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","344","tchp344","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/344","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/344.pdf","erika-b.github.io/tchp_dev/items/tchp344.html"
"Serving on the USS Mason: Breaking Racial Barriers in the U.S. Navy","World War II veteran Merwin Peters shares the history of the USS Mason and describes his experiences as an African-American sailor serving just prior to military desegregation. Frequent references are made to Mary Pat Kelly, whose 1995 book &quot;&quot;Proudly We Served: The Men of the USS Mason&quot;&quot; brought the story of the Mason and her crew to public attention.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","345","tchp345","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/345","","erika-b.github.io/tchp_dev/items/tchp345.html"
"Bil Moss, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","346","tchp346","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/346","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/346/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp346.html"
"Kristina L. Walker, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","347","tchp347","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/347","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/347.pdf","erika-b.github.io/tchp_dev/items/tchp347.html"
"Bil Moss, interview transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","348","tchp348","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/348","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/348.pdf","erika-b.github.io/tchp_dev/items/tchp348.html"
"Bil Moss, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","349","tchp349","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/349","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/349","erika-b.github.io/tchp_dev/items/tchp349.html"
"Bil Moss, interview transcript 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","350","tchp350","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/350","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/350.pdf","erika-b.github.io/tchp_dev/items/tchp350.html"
"Bil Moss, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","351","tchp351","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/351","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/351","erika-b.github.io/tchp_dev/items/tchp351.html"
"Bil Moss, interview transcript 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04transcript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","352","tchp352","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/352","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/352.pdf","erika-b.github.io/tchp_dev/items/tchp352.html"
"Bil Moss, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","353","tchp353","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/353","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/353","erika-b.github.io/tchp_dev/items/tchp353.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","354","tchp354","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/354","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/354.pdf","erika-b.github.io/tchp_dev/items/tchp354.html"
"Women and Tacomas Civil Rights Movement: Mrs. Bil Moss","Community leader Bil Moss looks back at six decades of social activism and discusses her involvement in Tacomas civil rights movement. She describes her early work to secure open housing in Tacoma, which arose from her personal struggles to purchase property outside the Hilltop area, and her work with the Tacoma Chapter of the Links on the Sickle Cell Project. Moss touches on a number of her civic and political activities in these three lengthy interviews and shares some insights into the social barriers she has faced as an African-American woman.","","","2009","","","","","","","","University of Washington Tacoma Community History Project","","chp2009-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","355","tchp355","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/355","","erika-b.github.io/tchp_dev/items/tchp355.html"
"Jessica Dvorak, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-07essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","356","tchp356","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/356","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/356.pdf","erika-b.github.io/tchp_dev/items/tchp356.html"
"Carrie Little, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-07transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","357","tchp357","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/357","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/357.pdf","erika-b.github.io/tchp_dev/items/tchp357.html"
"Carrie Little, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-07audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","358","tchp358","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/358","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/358","erika-b.github.io/tchp_dev/items/tchp358.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-07bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","359","tchp359","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/359","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/359.pdf","erika-b.github.io/tchp_dev/items/tchp359.html"
"Carrie Little and the Tacoma Community Gardening Movement","Carrie Little discusses the recent revival of community-based agriculture and shares her personal connection to several community gardening projects in and around Tacoma. She describes the development of the Guadalupe Land Trust, a local organization that manages community garden plots on Hilltop, and also talks about Mother Earth Farm in Puyallup.","","","2011","","","","","","","","University of Washington Tacoma Community History Project","","chp2011-07","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","360","tchp360","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/360","","erika-b.github.io/tchp_dev/items/tchp360.html"
"Jenaro Castaeda, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","361","tchp361","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/361","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/361/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp361.html"
"Yris Lance, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","362","tchp362","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/362","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/362.pdf","erika-b.github.io/tchp_dev/items/tchp362.html"
"Jenaro Castaeda, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","363","tchp363","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/363","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/363.pdf","erika-b.github.io/tchp_dev/items/tchp363.html"
"Jenaro Castaeda, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","364","tchp364","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/364","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/364","erika-b.github.io/tchp_dev/items/tchp364.html"
"Jenaro Castaeda, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","365","tchp365","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/365","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/365","erika-b.github.io/tchp_dev/items/tchp365.html"
"Jenaro Castaeda, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","366","tchp366","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/366","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/366","erika-b.github.io/tchp_dev/items/tchp366.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","367","tchp367","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/367","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/367.pdf","erika-b.github.io/tchp_dev/items/tchp367.html"
"Mexican-Americans from Mexico to Washington State: Discrimination and Segregation in the Memory of One Witness","Jenaro Castaeda, a former migrant worker, describes life growing up in a post-World War II farm labor camp and comments on the social barriers he has faced as a Mexican-American. He also touches on his work with the Washington State Office of Minority and Womens Business Enterprises and expresses his hopes for greater recognition and understanding of Washingtons minority communities.","","","2007","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","368","tchp368","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/368","","erika-b.github.io/tchp_dev/items/tchp368.html"
"Cecelia La Pointe-Gorman, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","369","tchp369","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/369","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/369.pdf","erika-b.github.io/tchp_dev/items/tchp369.html"
"Faye C. Bates, interview transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","370","tchp370","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/370","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/370.pdf","erika-b.github.io/tchp_dev/items/tchp370.html"
"Faye C. Bates, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","371","tchp371","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/371","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/371","erika-b.github.io/tchp_dev/items/tchp371.html"
"Faye C. Bates, interview transcript 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","372","tchp372","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/372","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/372.pdf","erika-b.github.io/tchp_dev/items/tchp372.html"
"Faye C. Bates, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","373","tchp373","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/373","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/373","erika-b.github.io/tchp_dev/items/tchp373.html"
"Faye C. Bates, interview transcript 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03transcript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","374","tchp374","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/374","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/374.pdf","erika-b.github.io/tchp_dev/items/tchp374.html"
"Faye C. Bates, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","375","tchp375","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/375","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/375","erika-b.github.io/tchp_dev/items/tchp375.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-03bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","376","tchp376","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/376","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/376.pdf","erika-b.github.io/tchp_dev/items/tchp376.html"
